User,Date,None,Retweet,Tweets,Label
adario,11/6/2016 23:42,None,FALSE,RT @JohnJHarwood: Stevie Wonder on why Trump shouldnt be president: if you had emergency had to go to hospital you wouldn t want me dri ,?
ForbesFanclub,11/6/2016 23:42,None,FALSE,Why Republicans Should Hope Donald Trump Loses In A Landslide - Forbes https://t.co/JCDzMYvSkL,?
StercaStercules,11/6/2016 23:42,None,FALSE,RT @steveschale: Yesterday this young man was kicked out of a Trump rally. As he was leaving people kicked at his wheelchair. Toda ,?
Peterpax,11/6/2016 23:42,None,FALSE,RT @MarketWatch: Terrified of a President Trump? Here are 7 good things that will happen if he wins: https://t.co/0nhtnYs29E https://t.co/B ,?
all_sabrina,11/6/2016 23:42,None,FALSE,The election is in four days. Theres still a staggering amount we dont know about Donald Trump. https://t.co/jASa0onMIh via @MotherJones,?
Fisbarry,11/6/2016 23:42,None,FALSE,RT @thehill: Trump aides have revoked his Twitter privileges: report https://t.co/RjEYDA4SLj https://t.co/IiLqzW7uG3,?
cavallariadam,11/6/2016 23:42,None,FALSE,RT @ObamaMalik: TRUMP IS NOT AGAINST IMMIGRATION! HES AGAINST ILLEGAL IMMIGRATION!,?
XarisKat,11/6/2016 23:42,None,FALSE,RT @HuffingtonPost: Lady Gaga shuts down Melania Trumps hypocrisy in one perfect tweet https://t.co/S9oy2dXFpx https://t.co/LLtmYZOuQ3,?
geoffryken,11/6/2016 23:42,None,FALSE,RT @KenTremendous: My own daughter knows how toxic I am! is not a super-strong closing argument. https://t.co/FDYbADDbbG,?
MehHbz,11/6/2016 23:42,None,FALSE,RT @LindaSuhler: Ted Nugent is killing it in Michigan right now!#VoteTrump #MAGA https://t.co/ICFCcYqmUR,?
BernistasForHil,11/6/2016 23:42,None,FALSE,#GaryJohson Think Trump cares .about your concerns? Only Hillary can stop him. Vote your interests not your anger.  https://t.co/YL3k3AC7RR,?
CarterReed11,11/6/2016 23:42,None,FALSE,RT @Darren32895836: Guess the 4 Separate FBI Offices investigating Hillary Clinton Foundation mean nothing also FBI Director Comey ?? ,?
Arriadna,11/6/2016 23:42,None,FALSE,RT @DavidYankovich: Yes he must.https://t.co/J45IiIHNbL https://t.co/aDlWIOh5GE,?
CarlToddHand,11/6/2016 23:42,None,FALSE,RT @DLin71: Closing argumentsTRUMP: I saw a guy with a sign and called it an assassination attempt. Give me the nuclear codes.CLINTON: ,?
art888777,11/6/2016 23:42,None,FALSE,RT @WeNeedTrump: For months Comey was doing a great job according to Dems.9 days ago he was working with Russia to help Trump win.I ,?
